雪	セツ;ゆき	snow	general
線	セン;すじ	line; track	general
船	セン;ふね;ふな-	ship; boat	general
前	ゼン;まえ;-まえ	in front; before	general
星	セイ;ショウ;ほし;-ぼし	star; spot; dot; mark	general
晴	セイ;はれる;はれ;はれ-;-ばれ;はらす	clear up	general
声	セイ;ショウ;こえ;こわ-	voice	general
西	セイ;サイ;ス;にし	west; Spain	general
図	ズ;ト;え;はかる	map; drawing; plan; unexpected; accidentally	general
数	スウ;ス;サク;ソク;シュ;かず;かぞえる;しばしば;せめる;わずらわしい	number; strength; fate; law; figures	general
色	ショク;シキ;いろ	color	general
食	ショク;ジキ;くう;くらう;たべる;はむ	eat; food	general
心	シン;こころ;-ごころ	heart; mind; spirit; heart radical (no. 61)	general
新	シン;あたらしい;あらた;あら-;にい-	new	general
親	シン;おや;おや-;したしい;したしむ	parent; intimacy; relative; familiarity; dealer (cards)	general
場	ジョウ;チョウ;ば	location; place	general
書	ショ;かく;-がき;-がき	write	general
少	ショウ;すくない;すこし	few; little	general
春	シュン;はる	springtime; spring (season)	general
週	シュウ	week	general
首	シュ;くび	neck; counter for songs and poems	general
秋	シュウ;あき;とき	autumn	general
弱	ジャク;よわい;よわる;よわまる;よわめる	weak; frail	general
社	シャ;やしろ	company; firm; office; association; shrine	general
自	ジ;シ;みずから;おのずから;おのずと	oneself	general
室	シツ;むろ	room; apartment; chamber; greenhouse; cellar	general
寺	ジ;てら	Buddhist temple	general
時	ジ;とき;-どき	time; hour	general
思	シ;おもう;おもえらく;おぼす	think	general
止	シ;とまる;-どまり;とめる;-とめる;-どめ;とどめる;とどめ;とどまる;やめる;やむ;-やむ;よ	stop; halt	general
紙	シ;かみ	paper	general
姉	シ;あね;はは	elder sister	general
市	シ;いち	market; city; town	general
算	サン;そろ	calculate; divining; number; abacus; probability	general
細	サイ;ほそい;ほそる;こまか;こまかい	dainty; get thin; taper; slender; narrow	general
作	サク;サ;つくる;つくり;-づくり	make; production; prepare; build	general
才	サイ	genius; years old; cubic shaku	general
行	コウ;ギョウ;アン;いく;ゆく;-ゆき;-ゆき;-いき;-いき;おこなう;おこなう	going; journey	general
高	コウ;たかい;たか;-だか;たかまる;たかめる	tall; high; expensive	general
合	ゴウ;ガッ;カッ;あう;-あう;あい;あい-;-あい;-あい;あわす;あわせる;-あわせる	fit; suit; join; 0.1	general
国	コク;くに	country	general
